timestamp,yhat
2020-12-31 00:00:00,9.48075641888375
2020-12-31 01:00:00,6.481984785959337
2020-12-31 02:00:00,4.90625895336837
2020-12-31 03:00:00,5.011752431234517
2020-12-31 04:00:00,4.43614214467972
2020-12-31 05:00:00,4.508585980424636
2020-12-31 06:00:00,5.186562891443067
2020-12-31 07:00:00,4.1954772900342
2020-12-31 08:00:00,8.477274755351205
2020-12-31 09:00:00,11.416008701730885
2020-12-31 10:00:00,13.749454983082147
2020-12-31 11:00:00,15.936758258645868
2020-12-31 12:00:00,15.02244524718601
2020-12-31 13:00:00,12.23158649982631
2020-12-31 14:00:00,14.815288851725333
2020-12-31 15:00:00,13.385393576311438
2020-12-31 16:00:00,9.248228218844305
2020-12-31 17:00:00,8.114068460353058
2020-12-31 18:00:00,9.942626279863628
2020-12-31 19:00:00,17.361071575397823
2020-12-31 20:00:00,14.939372857344607
2020-12-31 21:00:00,13.60717481841989
2020-12-31 22:00:00,14.5453986315876
2020-12-31 23:00:00,11.085911875385298
